_position,book_name,goodreads_score,author,rating,url,my_column/_source,rating,total_ratings,pages
52,"Flesh and Blood (Kay Scarpetta, #22)",100,Patricia Cornwell,"3.62 of 5 stars 3.62 avg rating „ 6,640 ratings",https://www.goodreads.com/book/show/20768868-flesh-and-blood,/book/show/20768868-flesh-and-blood,3.62,6640,369
53,The Buried Giant,100,Kazuo Ishiguro,"3.41 of 5 stars 3.41 avg rating „ 13,622 ratings",https://www.goodreads.com/book/show/22522805-the-buried-giant,/book/show/22522805-the-buried-giant,3.41,13622,317
54,The Fifth Gospel,100,Ian Caldwell,"3.7 of 5 stars 3.70 avg rating „ 3,390 ratings",https://www.goodreads.com/book/show/22609406-the-fifth-gospel,/book/show/22609406-the-fifth-gospel,3.70,3390,431
55,The Aureole of Enchantment,100,Donald Lani,5.0 of 5 stars 5.00 avg rating „ 1 rating,https://www.goodreads.com/book/show/25958013-the-aureole-of-enchantment,/book/show/25958013-the-aureole-of-enchantment,5.00,1,328
56,"Prince Lestat (The Vampire Chronicles, #11)",99,Anne Rice,"3.71 of 5 stars 3.71 avg rating „ 9,383 ratings",https://www.goodreads.com/book/show/21412673-prince-lestat,/book/show/21412673-prince-lestat,3.71,9383,458
57,"Private Vegas (Private, #9)",99,James Patterson,"3.64 of 5 stars 3.64 avg rating „ 4,466 ratings",https://www.goodreads.com/book/show/21423303-private-vegas,/book/show/21423303-private-vegas,3.64,4466,416
58,Redeployment,98,Phil Klay,"4.0 of 5 stars 4.00 avg rating „ 11,302 ratings",https://www.goodreads.com/book/show/18114068-redeployment,/book/show/18114068-redeployment,4.00,11302,288
59,Dreaming Spies (Mary Russell and Sherlock Holmes #13),98,Laurie R. King,"4.04 of 5 stars 4.04 avg rating „ 2,534 ratings",https://www.goodreads.com/book/show/22318363-dreaming-spies,/book/show/22318363-dreaming-spies,4.04,2534,352
60,Funny Girl,97,Nick Hornby,"3.37 of 5 stars 3.37 avg rating „ 11,038 ratings",https://www.goodreads.com/book/show/22749994-funny-girl,/book/show/22749994-funny-girl,3.37,11038,452
61,"The Empty Throne (The Saxon Stories, #8)",97,Bernard Cornwell,"4.34 of 5 stars 4.34 avg rating „ 3,012 ratings",https://www.goodreads.com/book/show/21045103-the-empty-throne,/book/show/21045103-the-empty-throne,4.34,3012,302
62,"The Assassination Option (Clandestine Operations, #2)",96,W.E.B. Griffin,3.95 of 5 stars 3.95 avg rating „ 525 ratings,https://www.goodreads.com/book/show/23013640-the-assassination-option,/book/show/23013640-the-assassination-option,3.95,525,481
63,"No Fortunate Son (Pike Logan, #7)",96,Brad Taylor,"4.27 of 5 stars 4.27 avg rating „ 1,220 ratings",https://www.goodreads.com/book/show/22522168-no-fortunate-son,/book/show/22522168-no-fortunate-son,4.27,1220,405
64,"Golden Son (Red Rising Trilogy, #2)",96,Pierce Brown,"4.5 of 5 stars 4.50 avg rating „ 17,990 ratings",https://www.goodreads.com/book/show/18966819-golden-son,/book/show/18966819-golden-son,4.50,17990,464
65,Trigger Warning: Short Fictions and Disturbances,95,Neil Gaiman,"3.95 of 5 stars 3.95 avg rating „ 11,805 ratings",https://www.goodreads.com/book/show/22522808-trigger-warning,/book/show/22522808-trigger-warning,3.95,11805,310
66,Cold Cold Heart,94,Tami Hoag,"3.8 of 5 stars 3.80 avg rating „ 4,822 ratings",https://www.goodreads.com/book/show/18693918-cold-cold-heart,/book/show/18693918-cold-cold-heart,3.80,4822,400
67,The First Bad Man,93,Miranda July,"3.56 of 5 stars 3.56 avg rating „ 6,796 ratings",https://www.goodreads.com/book/show/21412400-the-first-bad-man,/book/show/21412400-the-first-bad-man,3.56,6796,276
68,"The Mime Order (The Bone Season, #2)",90,Samantha Shannon,"4.19 of 5 stars 4.19 avg rating „ 5,794 ratings",https://www.goodreads.com/book/show/17901125-the-mime-order,/book/show/17901125-the-mime-order,4.19,5794,510
69,Descent,89,Tim Johnston,"3.66 of 5 stars 3.66 avg rating „ 6,077 ratings",https://www.goodreads.com/book/show/20312459-descent,/book/show/20312459-descent,3.66,6077,376
70,The Whites,88,Richard Price,"3.67 of 5 stars 3.67 avg rating „ 2,577 ratings",https://www.goodreads.com/book/show/22895696-the-whites,/book/show/22895696-the-whites,3.67,2577,352
71,The Accidental Empress,87,Allison Pataki,"3.81 of 5 stars 3.81 avg rating „ 2,598 ratings",https://www.goodreads.com/book/show/22609307-the-accidental-empress,/book/show/22609307-the-accidental-empress,3.81,2598,512
72,Prodigal Son,85,Danielle Steel,"3.89 of 5 stars 3.89 avg rating „ 2,448 ratings",https://www.goodreads.com/book/show/22551744-prodigal-son,/book/show/22551744-prodigal-son,3.89,2448,318
73,"Double Fudge Brownie Murder (Hannah Swensen, #18)",84,Joanne Fluke,"3.44 of 5 stars 3.44 avg rating „ 1,999 ratings",https://www.goodreads.com/book/show/22544406-double-fudge-brownie-murder,/book/show/22544406-double-fudge-brownie-murder,3.44,1999,304
74,"Hush Hush (Tess Monaghan, #12)",83,Laura Lippman,"3.57 of 5 stars 3.57 avg rating „ 2,221 ratings",https://www.goodreads.com/book/show/22206617-hush-hush,/book/show/22206617-hush-hush,3.57,2221,320
75,Leaving Berlin,82,Joseph Kanon,"3.7 of 5 stars 3.70 avg rating „ 1,362 ratings",https://www.goodreads.com/book/show/21943244-leaving-berlin,/book/show/21943244-leaving-berlin,3.70,1362,416
76,"Radiant Angel (John Corey, #7)",79,Nelson DeMille,"3.83 of 5 stars 3.83 avg rating „ 3,700 ratings",https://www.goodreads.com/book/show/23197346-radiant-angel,/book/show/23197346-radiant-angel,3.83,3700,311
77,"Dead Ice (Anita Blake, Vampire Hunter, #24)",77,Laurell K. Hamilton,"3.74 of 5 stars 3.74 avg rating „ 3,612 ratings",https://www.goodreads.com/book/show/21066968-dead-ice,/book/show/21066968-dead-ice,3.74,3612,566
78,Luckiest Girl Alive,76,Jessica Knoll,"3.52 of 5 stars 3.52 avg rating „ 18,921 ratings",https://www.goodreads.com/book/show/22609317-luckiest-girl-alive,/book/show/22609317-luckiest-girl-alive,3.52,18921,352
79,"14th Deadly Sin (WomenÍs Murder Club, #14)",74,James Patterson,"3.89 of 5 stars 3.89 avg rating „ 7,808 ratings",https://www.goodreads.com/book/show/23346918-14th-deadly-sin,/book/show/23346918-14th-deadly-sin,3.89,7808,384
80,Seveneves,73,Neal Stephenson,"4.02 of 5 stars 4.02 avg rating „ 10,521 ratings",https://www.goodreads.com/book/show/22816087-seveneves,/book/show/22816087-seveneves,4.02,10521,880
81,"Piranha (The Oregon Files, #10)",70,Clive Cussler,"4.15 of 5 stars 4.15 avg rating „ 1,207 ratings",https://www.goodreads.com/book/show/23281922-piranha,/book/show/23281922-piranha,4.15,1207,421
82,"The Fateful Lightning (Civil War: 1861-1865, Western Theater, #4)",69,Jeff Shaara,4.28 of 5 stars 4.28 avg rating „ 329 ratings,https://www.goodreads.com/book/show/23164911-the-fateful-lightning,/book/show/23164911-the-fateful-lightning,4.28,329,640
